roundNum,red1,red2,blue1,blue2,redscore,bluescore
1,10940,7261,4174,5414,100,255
2,4106,6168,6347,7129,140,150
3,5843,7423,8149,8645,230,205
4,9955,9872,8521,9984,135,90
5,406,5484,6929,5037,190,215
6,535,4587,7655,7007,145,155
7,9794,9163,10213,5916,171,135
8,4029,4200,6206,9773,190,185
9,10477,7190,8297,33,160,125
10,11115,7152,10138,8712,240,175
11,11362,8686,2867,10829,155,90
12,4347,12512,12560,8349,195,150
13,11691,5153,12529,5199,160,105
14,5975,3737,8417,5452,160,135
15,3954,4964,7244,8808,190,195
16,12531,6037,12534,3415,175,50
17,8297,9794,6168,4029,210,200
18,7190,406,4200,10213,170,90
19,11362,9955,8645,5916,75,215
20,10829,12560,4174,8149,130,200
21,10138,9773,6929,12512,260,220
22,8712,5452,7423,33,100,135
23,8417,9872,535,4964,125,180
24,8521,5037,4587,12534,210,190
25,8808,5199,2867,3737,10,105
26,7129,8686,6206,6037,250,155
27,8349,12529,4106,5414,170,230
28,11691,7261,3954,5975,145,115
29,9984,9163,3415,6347,25,240
30,7244,7655,10940,5484,175,200
31,11115,5843,5153,4347,250,200
32,12531,7007,10477,7152,100,190
33,11362,9773,3737,406,105,155
34,10213,6929,4964,5199,200,150
35,6168,8417,6037,8349,60,140
36,3954,535,5414,7190,140,135
37,8712,2867,5037,8645,210,125
38,33,7655,9872,8149,80,145
39,11691,8521,4174,8686,155,250
40,7423,6347,4347,5484,105,45
41,7244,12534,6206,12560,130,140
42,7129,5975,3415,10940,185,150
43,4029,8808,10477,5153,140,110
44,5452,4587,4200,9163,245,50
45,12531,10138,5843,8297,210,195
46,11115,10829,9984,12512,225,70
47,7152,5916,12529,7261,205,75
48,7007,4106,9955,9794,70,255
49,8686,8645,535,5199,210,200
50,11691,7129,8349,10213,185,95
51,3737,3954,10477,12534,100,115
52,12560,33,4587,5975,55,125
53,6037,4174,7655,8808,185,155
54,4200,10940,9872,8712,50,100
55,8297,2867,7423,3415,120,95
56,5916,12512,12531,5452,250,130
57,5484,9984,7152,8149,165,145
58,6206,9955,7190,6347,100,170
59,9773,7261,5037,5153,90,100
60,6168,7007,8521,4964,105,265
61,5414,6929,9794,7244,285,200
62,5843,8417,406,10829,255,175
63,4029,12529,11115,9163,270,160
64,10138,4347,11362,4106,210,215
65,10940,9984,5452,3954,55,130
66,4174,5975,10213,9955,200,80
67,4200,6347,33,12512,130,50
68,8686,5153,4587,12531,200,180
69,7655,4964,7152,7423,215,205
70,5484,8521,8417,8645,215,180
71,11115,5199,12534,8297,190,170
72,9163,535,4347,6168,80,160
73,10829,4106,5037,5916,120,230
74,7190,3415,12560,9773,100,160
75,6929,8349,6206,11362,260,165
76,9794,8808,10138,11691,165,225
77,8149,3737,8712,4029,120,225
78,6037,7261,7007,5843,165,105
79,5414,2867,10477,406,185,205
80,12529,9872,7129,7244,135,265
81,4174,8645,4200,9984,255,110
82,8417,4347,10213,8686,165,230
83,3415,6206,6168,7152,75,155
84,10940,8297,10829,4587,160,175
85,4106,535,11691,9773,135,165
86,6929,12531,6347,7261,220,245
87,406,12512,12534,8712,190,185
88,12560,10477,11362,9794,150,245
89,5414,10138,5452,9872,265,115
90,5153,3737,7244,7007,105,175
91,11115,7423,3954,8521,185,220
92,33,5484,8808,7129,220,190
93,2867,7655,5843,5916,240,280
94,7190,8149,4964,12529,95,165
95,5037,9955,4029,6037,140,190
96,5975,8349,5199,9163,200,65
97,11362,4174,12531,535,210,105
98,6347,8712,8417,5153,230,145
99,10213,10138,12560,7007,190,185
100,10477,8645,9773,10940,225,120
101,3954,4347,8297,7655,235,115
102,8149,2867,7129,6929,80,230
103,9872,3415,11115,7261,140,135
104,8349,33,8521,406,170,260
105,5414,7423,5916,8808,180,215
106,10829,9163,11691,6206,80,130
107,4106,4964,6037,12512,260,80
108,5843,5037,7190,5975,215,60
109,12534,6168,9984,8686,110,225
110,12529,3737,9794,4200,205,150
111,7152,7244,4587,9955,215,130
112,5199,4029,5452,5484,210,200
113,5916,8521,10477,4347,90,230
114,10940,8417,11115,11362,115,260
115,8645,8297,7261,8808,260,115
116,9872,7007,10829,7190,105,185
117,8149,9773,6347,3954,185,110
118,12534,4200,7655,5153,45,105
119,535,12560,8712,7129,155,120
120,5037,10213,7423,12531,65,150
121,4964,6206,5975,10138,190,195
122,4029,4174,2867,4106,225,90
123,7244,9984,406,5199,210,170
124,9794,5484,8686,8349,205,230
125,9955,5452,6168,12529,105,240
126,3415,11691,6929,3737,150,185
127,7152,33,9163,6037,100,150
128,12512,4587,5843,5414,205,270
129,8808,6206,10940,535,80,65
130,11362,10213,4029,9872,180,160
131,6347,406,8297,5975,220,235
132,4200,10829,7423,10138,75,185
133,8149,5037,11115,7244,135,250
134,3954,8712,12529,4174,175,165
135,9794,9984,4964,12531,215,220
136,6037,4587,3737,5484,240,165
137,5916,3415,33,7007,125,46
138,9773,5199,8417,7655,100,215
139,8645,12560,5414,6168,245,160
140,12534,5452,4347,11691,145,240
141,8349,10477,9955,5843,160,130
142,12512,7129,7152,5153,235,150
143,9163,8521,2867,7261,220,105
144,7190,6929,4106,8686,245,100
